"","industry_code","industry_title","2012.qtr1","2012.qtr2","2012.qtr3","2012.qtr4","2013.qtr1","2013.qtr2","2013.qtr3","2013.qtr4","2014.qtr1","2014.qtr2","2014.qtr3","2014.qtr4","2015.qtr1","2015.qtr2","2015.qtr3","2015.qtr4","2016.qtr1","2016.qtr2","2016.qtr3","2016.qtr4"
"1","31-33 (exclude 3361)","Manufacturing (exclude 3361)",315104,316347,315794,316825,317332,321090,321929,324695,326692,329190,330547,333465,335776,340009,343324,347313,349933,353415,355851,357682
"2","44-45","Retail",971131,972474,967988,1010738,987101,991485,996054,1045553,1025208,1030137,1030683,1084009,1066422,1071071,1071057,1117601,1088395,1090411,1092445,1135622
"3","48-49","Transportation",210612,210810,209639,214943,216643,218318,217615,223677,223233,224962,225134,232343,233708,234721,236389,247169,246819,247912,247821,256936
"4","11","Agriculture, forestry, fishing and hunting",101579,88063,56494,85422,97022,87214,55262,82466,93630,83161,56331,79486,90355,80599,55295,78427,86017,76889,55280,76351
"5","21","Mining, quarrying, and oil and gas extraction",3888,3954,3965,4004,3982,3926,3958,3999,4059,4100,4124,4128,4015,4132,4116,4099,4118,4189,4194,4202
"6","22","Utilities",22601,22587,22653,22671,22537,22439,22152,21990,22025,22001,21957,21951,21893,22437,22704,22790,22771,22821,22945,22949
"7","23","Construction",331324,338857,346820,352738,348536,361392,373109,378949,378465,392829,404448,411103,411762,425766,437223,451086,455757,470465,481057,489343
"8","3361","Motor vehicle manufacturing",772,757,762,753,761,764,771,758,1091,1051,1059,1052,1071,1118,1166,1152,1206,1202,1217,1274
"9","42","Wholesale trade",314834,317693,316477,320538,319803,321340,320543,325594,323429,326511,327561,333784,331979,333518,333827,338979,336698,339031,338452,342371
"10","51","Information",133958,133651,133048,134139,133082,133720,134223,135102,135868,136708,136604,137571,135198,135674,136025,137145,137017,136916,136938,136954
"11","52","Finance and insurance",328609,331411,333545,337360,335893,337650,340053,342004,340601,342850,344445,347595,348189,350659,353849,358828,357882,359786,362610,367639
"12","53","Real estate and rental and leasing",156721,160640,160989,163859,161430,165503,166134,169023,167473,170601,172050,174155,173428,177218,178542,181494,177629,181193,181297,184004
"13","54","Professional and technical services",445501,449241,445539,459469,463500,466683,465861,477805,477702,482169,485405,498881,501227,502845,505538,519023,521719,525611,529398,540955
"14","55","Management of companies and enterprises",82797,83434,83862,84825,89854,90850,91076,91954,93372,94005,94258,95079,95151,96138,97418,98344,98714,99740,100903,102053
"15","56","Administrative and waste services",522759,539843,540079,557927,543500,555596,560409,575061,566321,582541,586716,605689,598278,615610,618861,641259,638013,651119,656764,673187
"16","61","Educational services",134295,133052,126646,138367,137306,136285,130066,141905,141111,141202,135869,148344,146480,146351,138866,152373,151318,150509,143401,156370
"17","62","Health care and social assistance",952506,962289,960790,970246,973110,977687,974846,985973,988549,1000455,1004421,1019678,1023402,1033810,1039569,1058887,1060617,1072065,1078736,1092091
"18","71","Arts, entertainment, and recreation",193644,198025,191936,195522,196035,198134,193985,198376,204080,210039,206791,209639,213900,216511,213722,219785,222574,224591,219379,224781
"19","72","Accommodation and food services",797685,813424,793756,806245,830826,848519,834311,843044,868578,886256,867408,881624,907526,923751,907356,925957,949430,960062,942506,951362
"20","81","Other services, except public administration",235896,239893,235849,240424,240134,243378,240545,245330,248890,251795,249961,256452,259401,262751,260063,266580,269605,272919,271841,276474
